species,decimalLongitude,decimalLatitude
Colossoma.macropomum,-54.005,-2.114
Colossoma.macropomum,-54.005,-2.109
Colossoma.macropomum,-55.068,-2.113
Colossoma.macropomum,-54.858,-2.191
Colossoma.macropomum,-54.567,-2.1
Colossoma.macropomum,-54.717,-2.38
Colossoma.macropomum,-54.533,-2.317
Colossoma.macropomum,-54.736,-1.975
Colossoma.macropomum,-55.036,-2.206
Colossoma.macropomum,-54.891,-2.062
Colossoma.macropomum,-55.007,-2.064
Colossoma.macropomum,-54.698,-2.022
Colossoma.macropomum,-54.541,-2.427
Colossoma.macropomum,-54.383,-2.447
Colossoma.macropomum,-54.368,-2.462
Colossoma.macropomum,-54.762,-2.212
Colossoma.macropomum,-54.733,-1.933
Colossoma.macropomum,-54.733,-1.933
Colossoma.macropomum,-54.706,-2.391
Colossoma.macropomum,-54.705,-2.419
Colossoma.macropomum,-55.485,-2.16
Colossoma.macropomum,-55.16,-2.113
Colossoma.macropomum,-55.155,-2.111
Colossoma.macropomum,-55.287,-2.104
Colossoma.macropomum,-55.239,-2.198
Colossoma.macropomum,-55.239,-2.198
Colossoma.macropomum,-56.498,-2.253
Colossoma.macropomum,-56.103,-2.157
Colossoma.macropomum,-56.592,-2.502
Colossoma.macropomum,-56.038,-1.968
Colossoma.macropomum,-55.859,-1.973
Colossoma.macropomum,-56.031,-1.968
Colossoma.macropomum,-56.031,-1.971
Colossoma.macropomum,-56.757,-2.505
Colossoma.macropomum,-55.833,-1.867
Colossoma.macropomum,-55.867,-1.767
Colossoma.macropomum,-56.103,-2.157
Colossoma.macropomum,-56.498,-2.253
Colossoma.macropomum,-55.833,-1.867
Colossoma.macropomum,-55.867,-1.767
Colossoma.macropomum,-55.833,-1.867
Colossoma.macropomum,-55.867,-1.767
Colossoma.macropomum,-56.758,-2.642
Colossoma.macropomum,-56.758,-2.675
Colossoma.macropomum,-57.196,-2.523
Colossoma.macropomum,-56.75,-2.633
Colossoma.macropomum,-60.026,-2.051
Colossoma.macropomum,-57.994,-2.777
Colossoma.macropomum,-58.098,-2.901
