"species","decimalLongitude","decimalLatitude"
"Salminus_brasiliensis",-56.972578,-34.579492
"Salminus_brasiliensis",-58.030234,-32.52209
"Salminus_brasiliensis",-58.030234,-32.522041
"Salminus_brasiliensis",-58.480008,-34.487305
"Salminus_brasiliensis",-58.931514,-34.122134
"Salminus_brasiliensis",-60.670576,-32.894797
"Salminus_brasiliensis",-56.780804,-29.431604
"Salminus_brasiliensis",-58.478965,-34.491628
"Salminus_brasiliensis",-60.612831,-32.995697
"Salminus_brasiliensis",-58.44328,-34.540295
"Salminus_brasiliensis",-58.308319,-34.670854
"Salminus_brasiliensis",-58.307619,-34.671155
"Salminus_brasiliensis",-58.443041,-34.540371
"Salminus_brasiliensis",-42.029956,-20.917868
"Salminus_brasiliensis",-58.479833,-34.487551
"Salminus_brasiliensis",-59.491306,-29.893701
"Salminus_brasiliensis",-60.636427,-32.940491
"Salminus_brasiliensis",-57.937173,-21.648286
"Salminus_brasiliensis",-58.441906,-34.540753
"Salminus_brasiliensis",-60.629098,-32.945287
"Salminus_brasiliensis",-58.458718,-34.528622
"Salminus_brasiliensis",-58.458718,-34.528622
"Salminus_brasiliensis",-58.442202,-34.540882
"Salminus_brasiliensis",-51.851478,-24.509358
"Salminus_brasiliensis",-58.441757,-34.540752
"Salminus_brasiliensis",-58.454086,-34.529263
"Salminus_brasiliensis",-60.962165,-32.020717
"Salminus_brasiliensis",-57.22372,-35.276672
"Salminus_brasiliensis",-61.188887,-32.87111
"Salminus_brasiliensis",-53.835666,-21.84397
"Salminus_brasiliensis",-60.631674,-32.942635
"Salminus_brasiliensis",-58.47953,-34.489532
"Salminus_brasiliensis",-60.724558,-31.607585
"Salminus_brasiliensis",-57.84548,-22.47196
"Salminus_brasiliensis",-58.355316,-34.595639
"Salminus_brasiliensis",-60.724855,-31.608454
"Salminus_brasiliensis",-56.442107,-21.438039
"Salminus_brasiliensis",-59.660326,-33.669553
"Salminus_brasiliensis",-60.756546,-31.664059
"Salminus_brasiliensis",-60.673248,-32.818662
"Salminus_brasiliensis",-60.756808,-31.658644
"Salminus_brasiliensis",-60.332619,-31.726367
"Salminus_brasiliensis",-60.729956,-31.623745
"Salminus_brasiliensis",-48.38282,-20.535905
"Salminus_brasiliensis",-59.038206,-34.044521
"Salminus_brasiliensis",-58.302896,-34.665828
"Salminus_brasiliensis",-58.457293,-34.526641
"Salminus_brasiliensis",-60.686958,-32.877203
"Salminus_brasiliensis",-56.43592,-21.437005
"Salminus_brasiliensis",-58.626183,-34.442179
"Salminus_brasiliensis",-56.445435,-21.438413
"Salminus_brasiliensis",-56.438559,-21.437872
"Salminus_brasiliensis",-56.435962,-21.436856
"Salminus_brasiliensis",-56.435962,-21.436856
"Salminus_brasiliensis",-64.820271,-27.475538
"Salminus_brasiliensis",-57.499279,-23.267409
"Salminus_brasiliensis",-59.60419,-29.274742
"Salminus_brasiliensis",-58.35371,-34.602835
"Salminus_brasiliensis",-60.245111,-33.286282
"Salminus_brasiliensis",-53.101536,-24.637038
"Salminus_brasiliensis",-58.480096,-34.486857
"Salminus_brasiliensis",-56.220038,-21.463763
"Salminus_brasiliensis",-59.651453,-30.212176
"Salminus_brasiliensis",-57.647647,-25.347072
"Salminus_brasiliensis",-59.283329,-28.493212
"Salminus_brasiliensis",-56.487894,-21.12821
"Salminus_brasiliensis",-56.446058,-21.173498
"Salminus_brasiliensis",-53.257222,-22.764722
"Salminus_brasiliensis",-57.018333,-19.577222
